EVENT_CREATED_AT,Agency_ID,Provider_ID,REQUEST
2025-05-08 01:57:35.578,3686,1290,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669419873WoOR"", ""hotelCode"": 120161, ""rateDetailCode"": ""1290-120161|NRFN|202505051000|4|M|R1200|13895"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""31206b696e672070757265207375697465206d6f62696c6974792f68656172696e6720616363657373207475622c3120626564726f6f6d2d76697375616c206669726520616c61726d2f646f6f722f70686f6e6520616c6572742c636d7020626673742d6576652072656370742d776966692061766c2d736f66612d6d6963726f2d6672696467652c|1""}]}, ""timeout"": 28000}"
2025-05-08 01:57:41.306,3686,1117,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669457824uStF"", ""hotelCode"": 120161, ""rateDetailCode"": ""1117-120161|NRFN|202505060959|1|M|R1200|14408"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""74776f2d726f6f6d206b696e672073756974652d6e6f6e2d736d6f6b696e67|1""}]}, ""timeout"": 28000}"
2025-05-08 01:57:41.315,3686,1059,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669457824uStF"", ""hotelCode"": 120161, ""rateDetailCode"": ""1059-120161|NRFN|202505061000|1|M|R1200|14941"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""31206b696e6720626564206e6f6e2d736d6f6b696e67|1""}]}, ""timeout"": 28000}"
2025-05-08 01:57:49.164,3686,1117,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669422066gDrW"", ""hotelCode"": 105319, ""rateDetailCode"": ""1117-105319|NRFN|202505041000|1|M|R1200|29297"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""RO"", ""roomCode"": ""747261646974696f6e616c206b696e6720726f6f6d|1""}]}, ""timeout"": 28000}"
2025-05-08 01:57:49.600,3686,1117,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669422066gDrW"", ""hotelCode"": 105319, ""rateDetailCode"": ""1117-105319|NRFN|202505041000|2|M|R1200|32407"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""747261646974696f6e616c206b696e6720726f6f6d|1""}]}, ""timeout"": 28000}"
2025-05-08 01:58:36.597,3686,1290,"{""sessionId"": ""20250517|20250518|en_US|US|USD|2A0C|3686|HyWGR|1746669487635hBYs"", ""hotelCode"": 106038, ""rateDetailCode"": ""1290-106038|RFN|202505121000|1|M|R1200|29352"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""RO"", ""roomCode"": ""636974792076696577203120717565656e206265642c6672696467652f736166652f636f666665656d616b65722c6369747920766965772c|1""}]}, ""timeout"": 28000}"
2025-05-08 01:59:18.350,3686,1290,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669554579OkqX"", ""hotelCode"": 120161, ""rateDetailCode"": ""1290-120161|NRFN|202505051000|6|M|R1200|15314"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""3220726f6f6d20636f726e65722073756974652d31206b696e67206265642d6e6f6e736d6f6b696e672c636f6d7020636f6f6b656420746f206f726465722062726b6673742d6576656e696e6720726563657074696f6e2c776966692061766c2d736c656570657220736f66612d6d6963726f776176652d726566726967657261746f722c|1""}]}, ""timeout"": 28000}"
2025-05-08 01:59:18.395,3686,1117,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669554579OkqX"", ""hotelCode"": 120161, ""rateDetailCode"": ""1117-120161|NRFN|202505060959|2|M|R1200|15444"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""74776f2d726f6f6d20636f726e6572206b696e67207375697465202d206e6f6e2d736d6f6b696e67|1""}]}, ""timeout"": 28000}"
2025-05-08 01:59:19.183,3686,319,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669550228IkHz"", ""hotelCode"": 112479, ""rateDetailCode"": ""319-112479|NRFN|196912311000|3|M|R1200|4676"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""RO"", ""roomCode"": ""7374616e646172642031206b696e6720626564|1""}]}, ""timeout"": 28000}"
2025-05-08 01:59:38.582,3686,968,"{""sessionId"": ""20250508|20250509|en_US|US|USD|2A0C|3686|HyWGR|1746669566278qvzz"", ""hotelCode"": 151980, ""rateDetailCode"": ""968-151980|NRFN|202505061400|13|M|R1230|37161"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""RO"", ""roomCode"": ""31206b696e6720626564206d6f62696c6974792f68656172696e672061636365737320772f2072692073687772|1""}]}, ""timeout"": 28000}"
