providerId,HOTEL_NAME,SUPPLIER_HOTEL_ID,hotelErrorCount
1116,Home2 Suites By Hilton San Francisco Airport North,1763336,1
1116,Homewood Suites By Hilton Pittsburgh-Southpointe,324976,2
1116,Homewood Suites By Hilton Salt Lake City-Midvale/Sandy,126040,2
1116,Horseshoe Las Vegas,107128,1
1116,Hyatt Regency Huntington Beach Resort And Spa,229435,1
1116,IP Casino Resort Spa,142052,1
1116,Ibis Rabat Agdal,669843,1
1116,JW Marriott Desert Springs Resort & Spa,115638,1
1116,La Quinta By Wyndham Denver Englewood Tech Center,217032,2
1116,La Quinta Inn & Suites By Wyndham Page At Lake Powell,607981,1
1116,La Quinta Inn By Wyndham Detroit Southgate,134781,1
1116,Le Meridien Charlotte,444417,1
1116,Le Méridien Grand Hotel Nürnberg,217678,2
1116,"London Croydon Aerodrome Hotel, BW Signature Collection",204587,1
1116,MGM Grand Hotel & Casino,108540,1
1116,Microtel By Wyndham Perry National Fairground Area I-75,268108,2
1116,Microtel Inn & Suites By Wyndham Athens,186049,1
1116,"Motel 6 Clarksville, TN",577744,1
1116,"Motel 6 Longview, TX",454055,1
1116,"Motel 6 Maryland Heights, MO",134902,1
1116,Motel 6 Spring Hill FL Weeki Wachee,175372,1
1116,Novotel Melbourne South Wharf,751728,1
1116,Petra Marriott Hotel,199164,1
1116,Ramada By Wyndham Jacksonville I-95 By Butler BLVD,107347,2
1116,Ramada By Wyndham Weyburn,274726,1
1116,Red Roof Inn Columbus - Ohio State Fairgrounds,189992,1
1116,Red Roof Inn Columbus Northeast - Westerville,194282,1
1116,Red Roof Inn Columbus West - Hilliard,127408,2
1116,Red Roof Inn PLUS+ Baltimore North - Timonium,150727,6
1116,Red Roof Inn Syracuse,127171,1
1116,Renaissance Orlando Resort And Spa,121463,1
1116,Residence Inn By Marriott Halifax Dartmouth,1009185,1
1116,Residence Inn By Marriott Hartford Windsor,115782,1
1116,Residence Inn Norfolk Downtown,309554,1
1116,Sheraton Pittsburgh Airport Hotel,110794,1
1116,SpringHill Suites Philadelphia Willow Grove,196501,1
1116,Super 8 By Wyndham Greensboro/Coliseum/Conv.,201229,1
1116,Super 8 By Wyndham Greer/Spartanburg Area,201681,2
1116,Super 8 By Wyndham Stanton,512753,1
1116,"The Hi-Lo, Autograph Collection",565471,2
1116,"The Ritz-Carlton, Amelia Island",125428,1
1116,The Westin La Paloma Resort And Spa,105460,1
1116,The Westin Lake Las Vegas Resort & Spa,139583,2
1116,The Westin Savannah Harbor Golf Resort & Spa,161215,1
1116,Thistle London Heathrow Terminal 5,143163,2
1116,TownePlace Suites By Marriott Wilmington/Wrightsville Beach,262206,1
1116,Travelodge By Wyndham North Richland Hills/Dallas/Ft Worth,128401,1
1116,Travelodge By Wyndham Regina,127001,1
1116,Travelodge By Wyndham Vancouver Airport,143214,1
1116,W Fort Lauderdale,278458,1
1116,Waikiki Beach Marriott Resort & Spa,121751,1
1116,Wyndham Columbus,108347,3
1116,Wyndham Garden Wismar,231885,1
1116,easyHotel London Croydon,813012,1
1117,Aloft Cancun,434875,1
1117,Aloft Montreal Airport,268592,1
1117,AmericInn By Wyndham Peoria,507963,1
1117,Americas Best Value Inn Avenel Woodbridge,494325,1
1117,Americas Best Value Inn East Syracuse,185206,1
1117,Americas Best Value Inn Goldsboro,218122,8
1117,Baymont By Wyndham Indianapolis West,126788,1
1117,Best Western Plus Gateway Inn & Suites,210950,1
1117,Best Western Plus InnTowner Madison,209477,1
